name,country,lab_length
Stephenfurt Racing Rout,Bolivia,1.569
New Angela Racing Rout,Malta,1.729
North Regina City Circuit,Burundi,3.18
Tinaburgh Racing Rout,Palestinian Territory,1.208
Sonyamouth Racing Rout,United Kingdom,1.14
Dwaynefort Racing Rout,Saudi Arabia,2.018
Port Victoria City Circuit,Timor-Leste,3.427
Cookport Racing Rout,Bangladesh,1.318
Hobbsstad Racing Rout,Latvia,3.92
Pinedafurt Racing Circuit,Cyprus,1.414
Maldonadohaven City Rout,Faroe Islands,1.777
Ericaton City Circuit,French Guiana,4.341
Mooreton City Track,Slovakia (Slovak Republic),4.249
Charlesberg Racing Track,Tanzania,3.472
New Natalie Racing Circuit,Palau,2.512
New Heatherstad City Track,Sri Lanka,2.82
Villegasview City Circuit,Spain,4.588
Mitchellside Racing Rout,Slovakia (Slovak Republic),1.229
Carolynmouth Racing Track,Central African Republic,4.99
Brownfort Racing Rout,Qatar,4.283
Johnathanburgh City Rout,Cameroon,3.851
North Kelly Racing Circuit,Northern Mariana Islands,3.125
Calderonstad City Rout,Syrian Arab Republic,3.399
West Kevinburgh City Circuit,Reunion,4.456
Port Sarahchester City Circuit,Guinea-Bissau,2.56
New Marybury City Rout,Chile,1.301
North Mikeborough City Rout,New Zealand,4.328
Velezmouth Racing Rout,Bosnia and Herzegovina,2.935
East Heatherberg City Circuit,Malawi,0.99
Liburgh Racing Rout,Samoa,2.913
Rachelfort City Track,Central African Republic,4.698
East Tina Racing Track,Portugal,2.243
Karenside City Track,Libyan Arab Jamahiriya,3.389
Thompsonshire Racing Track,Sudan,3.106
Watersside Racing Circuit,Sudan,3.561
New Diana Racing Circuit,Bulgaria,2.843
Rebeccatown Racing Circuit,Kenya,3.637
East Richardview Racing Rout,Afghanistan,4.234
Kelseystad City Circuit,El Salvador,1.473
Fordland City Rout,Morocco,2.636
Rodriguezville City Track,Liberia,4.643
Jenniferbury City Circuit,Morocco,2.111
